DB Accession Number,Molecule Names,ATC Codes,Type,Groups,DB SMILES,Neutralized SMILES
DB06769; ZINC000004214955; CHEMBL487253; JUAN556,Bendamustine ; BENDAMUSTINE; BENDAMUSTINE HYDROCHLORIDE; Bendamustine; Bendamustine,L01AA,Small Molecule,NotAvailable,CN1C(CCCC(O)=O)=NC2=CC(=CC=C12)N(CCCl)CCCl,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21
DB06770; ZINC000000895302; CHEMBL720,Benzyl alcohol ; BENZYL ALCOHOL; Benzyl alcohol,P03AX,Small Molecule,NotAvailable,OCC1=CC=CC=C1,OCc1ccccc1
DB06771; ZINC000003787097; CHEMBL1201760,Besifloxacin ; BESIFLOXACIN; BESIFLOXACIN HYDROCHLORIDE; Besifloxacin,S01AE,Small Molecule,NotAvailable,N[C@@H]1CCCCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O,N[C@@H]1CCCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1
DB06772; ZINC000085536932; CHEMBL1201748,Cabazitaxel ; CABAZITAXEL; Cabazitaxel,L01CD,Small Molecule,NotAvailable,[H][C@]12[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C4=CC=CC=C4)C(C)=C([C@@H](OC)C(=O)[C@]1(C)[C@H](C[C@H]1OC[C@@]21OC(C)=O)OC)C3(C)C,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C
DB06774; ZINC000001530575; CHEMBL294199,Capsaicin ; CAPSAICIN; Capsaicin,M02AB; N01BX,Small Molecule,NotAvailable,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
DB06775; ZINC000001530283; CHEMBL1201780; D07130,Carglumic acid ; CARGLUMIC ACID; Carglumic acid; Carbaglu,A16AA,Small Molecule,NotAvailable,NC(=O)N[C@@H](CCC(O)=O)C(O)=O,NC(=O)N[C@@H](CCC(=O)O)C(=O)O
DB06777; ZINC000003914808; CHEMBL240597,Chenodeoxycholic acid ; CHENODIOL; Chenodeoxycholic acid,A05AA,Small Molecule,NotAvailable,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
DB06781; ZINC000004212945; CHEMBL1201749,Difluprednate ; DIFLUPREDNATE; Difluprednate,D07AC; S01BA,Small Molecule,NotAvailable,[H][C@@]12CC[C@](OC(=O)CCC)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
DB06785,Ganirelix ,H01CC,Small Molecule,NotAvailable,CCNC(NCC)=NCCCC[C@@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CC=CN=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN=C(NCC)NCC)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,CCNC(=NCCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCN=C(NCC)NCC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@@H](Cc1cccnc1)NC(=O)[C@@H](Cc1ccc(Cl)cc1)NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O)NCC
DB06786; ZINC000004213474; CHEMBL1200845,Halcinonide ; HALCINONIDE; Halcinonide,D07AD,Small Molecule,NotAvailable,[H][C@@]12C[C@H]3OC(C)(C)O[C@@]3(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1
DB06787; CHEMBL1201325,Hexocyclium ; Hexocyclium,A03AB,Small Molecule,NotAvailable,C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1
DB06788,Histrelin ,L02AE,Small Molecule,NotAvailable,CC(O)=O.CC(O)=O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1
DB06791,Lanreotide ,H01CB,Small Molecule,NotAvailable,[H]N([H])CCCCC1N([H])C(=O)C(CC2=CN([H])C3=CC=CC=C23)N([H])C(=O)C(CC2=CC=C(O)C=C2)N([H])C(=O)C(CSSCC(N([H])C(=O)C(N([H])C1=O)C(C)C)C(=O)N([H])C(C(C)O)C(=O)N([H])[H])N([H])C(=O)C(CC1=CC2=CC=CC=C2C=C1)N([H])[H],CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O
DB06794; ZINC000002000707; CHEMBL1201266,Lodoxamide ; LODOXAMIDE; LODOXAMIDE TROMETHAMINE; Lodoxamide,S01GX,Small Molecule,NotAvailable,OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1
DB06795; ZINC000000001644; CHEMBL419,Mafenide ; MAFENIDE; MAFENIDE ACETATE; MAFENIDE HYDROCHLORIDE; Mafenide,D06BA; G01AE,Small Molecule,NotAvailable,NCC1=CC=C(C=C1)S(N)(=O)=O,NCc1ccc(S(N)(=O)=O)cc1
DB06797; CHEMBL1200922,Mebutamate ; Mebutamate,N05BC,Small Molecule,NotAvailable,CCC(C)C(C)(COC(N)=O)COC(N)=O,CCC(C)C(C)(COC(N)=O)COC(N)=O
DB06799; ZINC000086040406; CHEMBL1201270,Methenamine ; METHENAMINE; Methenamine,G04BX; J01XX,Small Molecule,NotAvailable,C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3
DB06800; ZINC000245204949,Methylnaltrexone ; METHYLNALTREXONE; METHYLNALTREXONE BROMIDE; NALTREXONE METHIODIDE,A06AH,Small Molecule,NotAvailable,C[N@+]1(CC2CC2)CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35,C[N@+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
DB06802; ZINC000005162311; CHEMBL1021; D05143,Nepafenac ; NEPAFENAC; Nepafenac; Nevanac,S01BC,Small Molecule,NotAvailable,NC(=O)CC1=CC=CC(C(=O)C2=CC=CC=C2)=C1N,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N
DB06803; CHEMBL1448,Niclosamide ; Niclosamide,P02DA,Small Molecule,NotAvailable,OC1=C(C=C(Cl)C=C1)C(=O)NC1=C(Cl)C=C(C=C1)[N+]([O-])=O,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
DB06809; ZINC000022443609; CHEMBL18442; D08971; JUAN652,Plerixafor ; PLERIXAFOR; PLERIXAFOR OCTAHYDROCHLORIDE; Plerixafor; Mozobil; Plerixafor,L03AX,Small Molecule,NotAvailable,C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,c1cc(CN2CCCNCCNCCCNCC2)ccc1CN1CCCNCCNCCCNCC1
DB06810,Plicamycin ,L01DC,Small Molecule,NotAvailable,CO[C@@H]([C@@H]1CC2=CC3=CC(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)=C(C)C(O)=C3C(O)=C2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1)C(=O)[C@@H](O)[C@@H](C)O,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@H]2C[C@@H](O[C@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](O)[C@@H](C)O2)[C@H](O)[C@@H](C)O1
DB06811; ZINC000008214662; CHEMBL1231723,Polidocanol ; POLIDOCANOL; Polidocanol,C05BB,Small Molecule,NotAvailable,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
DB06813; CHEMBL1201746; D05589,Pralatrexate ; Pralatrexate; Difolta,L01BA,Small Molecule,NotAvailable,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
DB06815,Pyrithione ,D11AX,Small Molecule,NotAvailable,[O-][N+]1=C(S)C=CC=C1,[O-][n+]1ccccc1S
DB06816; CHEMBL1201303,Pyrvinium ; Pyrvinium,P02CX,Small Molecule,NotAvailable,CN(C)C1=CC2=C(C=C1)[N+](C)=C(\C=C\C1=C(C)N(C(C)=C1)C1=CC=CC=C1)C=C2,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1
DB06817; CHEMBL254316; JUAN546,Raltegravir ; Raltegravir; Raltegravir,J05AJ; J05AR; J05AX,Small Molecule,NotAvailable,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1
DB06819; ZINC000000056568; CHEMBL1746; D05868,Phenylbutyric acid ; PHENYLBUTANOIC ACID; SODIUM PHENYLBUTYRATE; Sodium phenylbutyrate; Buphenyl,A16AX; N07XX,Small Molecule,NotAvailable,OC(=O)CCCC1=CC=CC=C1,O=C(O)CCCc1ccccc1
DB06820; CHEMBL1221,Sulconazole ; Sulconazole,D01AC,Small Molecule,NotAvailable,ClC1=CC=C(CSC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
DB06821; CHEMBL1200359,Sulfameter ; Sulfametoxydiazine,G01AE; J01ED,Small Molecule,NotAvailable,COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
DB06823; CHEMBL1314,Tiopronin ; Tiopronin,G04BX,Small Molecule,NotAvailable,CC(S)C(=O)NCC(O)=O,CC(S)C(=O)NCC(=O)O
DB06824; CHEMBL609,Triethylenetetramine ; Trientine,A16AX,Small Molecule,NotAvailable,NCCNCCNCCN,NCCNCCNCCN
DB06825,Triptorelin ,L02AE,Small Molecule,NotAvailable,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
DB06826; ZINC000008214703; CHEMBL1201407,Unoprostone ; UNOPROSTONE; Unoprostone,S01EE,Small Molecule,NotAvailable,CCCCCCCC(=O)CC[C@H]1[C@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(O)=O,CCCCCCCC(=O)CC[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O
DB08329; CHEMBL328560,Sulthiame ; Sultiame,G01AE; N03AX,Small Molecule,NotAvailable,NS(=O)(=O)C1=CC=C(C=C1)N1CCCCS1(=O)=O,NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1
DB08439; CHEMBL1206690,Parecoxib ; Parecoxib,M01AH,Small Molecule,NotAvailable,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1,CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1
DB08604; ZINC000000002216; CHEMBL849,Triclosan ; TRICLOSAN; Triclosan,D08AE; D09AA,Small Molecule,NotAvailable,OC1=CC(Cl)=CC=C1OC1=C(Cl)C=C(Cl)C=C1,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
DB08797; ZINC000000002055; CHEMBL27577,Salicylamide ; SALICYLAMIDE; Salicylamide,N02BA,Small Molecule,NotAvailable,NC(=O)C1=CC=CC=C1O,NC(=O)c1ccccc1O
DB08799; CHEMBL1305,Antazoline ; Antazoline,R01AC; R06AX,Small Molecule,NotAvailable,C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
DB08801; CHEMBL22108,Dimetindene ; Dimetindene,D04AA; R06AB,Small Molecule,NotAvailable,CC(C1=C(CCN(C)C)CC2=CC=CC=C12)C1=CC=CC=N1,CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1
DB08814; CHEMBL1332032,Triflusal ; Triflusal,B01AC,Small Molecule,NotAvailable,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
DB08815; ZINC000003927822; CHEMBL1237021; D04820,Lurasidone ; LURASIDONE; LURASIDONE HYDROCHLORIDE; Lurasidone; Latuda,N05AE,Small Molecule,NotAvailable,[H][C@@]12[C@H]3CC[C@H](C3)[C@]1([H])C(=O)N(C[C@@H]1CCCC[C@H]1CN1CCN(CC1)C1=NSC3=CC=CC=C13)C2=O,O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1C[C@@H]1CCCC[C@H]1CN1CCN(c2nsc3ccccc23)CC1
DB08816; ZINC000028957444; CHEMBL398435; D09017,Ticagrelor ; TICAGRELOR; Ticagrelor; Brilinta,B01AC,Small Molecule,NotAvailable,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=N1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
DB08818,Hyaluronic acid ,D03AX; M09AX; R01AX; S01KA,Small Molecule,NotAvailable,CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O,CC(=O)N[C@@H]1C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](OC2[C@@H](NC(C)=O)[C@H](O)O[C@H](CO)[C@H]2O)O[C@@H]1C(=O)O
DB08819; ZINC000013912394; CHEMBL1963683; D06274,Tafluprost ; TAFLUPROST; Tafluprost; Tapros,S01EE,Small Molecule,NotAvailable,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1\C=C\C(F)(F)COC1=CC=CC=C1,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/C(F)(F)COc2ccccc2)[C@H](O)C[C@@H]1O
DB08820; ZINC000052509463; CHEMBL2010601,Ivacaftor ; IVACAFTOR; Ivacaftor,R07AX,Small Molecule,NotAvailable,CC(C)(C)C1=CC(=C(O)C=C1NC(=O)C1=CNC2=CC=CC=C2C1=O)C(C)(C)C,CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O
DB08822; ZINC000014210642; CHEMBL2028661,Azilsartan medoxomil ; AZILSARTAN KAMEDOXOMIL; AZILSARTAN MEDOXOMIL; Azilsartan medoxomil,C09CA; C09DA,Small Molecule,NotAvailable,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC(=O)N1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1
DB08827; ZINC000027990463; CHEMBL354541,Lomitapide ; LOMITAPIDE; LOMITAPIDE MESYLATE; Lomitapide,C10AX,Small Molecule,NotAvailable,FC(F)(F)CNC(=O)C1(CCCCN2CCC(CC2)NC(=O)C2=C(C=CC=C2)C2=CC=C(C=C2)C(F)(F)F)C2=CC=CC=C2C2=CC=CC=C12,O=C(NC1CCN(CCCCC2(C(=O)NCC(F)(F)F)c3ccccc3-c3ccccc32)CC1)c1ccccc1-c1ccc(C(F)(F)F)cc1
DB08828; ZINC000040899447; CHEMBL473417,Vismodegib ; VISMODEGIB; Vismodegib,L01XJ; L01XX,Small Molecule,NotAvailable,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)NC1=CC=C(Cl)C(=C1)C1=CC=CC=N1,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1
DB08834,Tauroursodeoxycholic acid ,A05AA; N07XX,Small Molecule,NotAvailable,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](O)C[C@]2([H])C[C@H](O)CC[C@]12C,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
DB08842; CHEMBL1697733,Acetylcarnitine ; Acetylcarnitine,N06BX,Small Molecule,NotAvailable,CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C
DB08860; ZINC000001534965; CHEMBL1201753; D01862,Pitavastatin ; PITAVASTATIN; PITAVASTATIN CALCIUM; Pitavastatin; Livalo,C10AA,Small Molecule,NotAvailable,O[C@H](C[C@H](O)\C=C\C1=C(N=C2C=CC=CC2=C1C1=CC=C(F)C=C1)C1CC1)CC(O)=O,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1
DB08864; ZINC000001554274; CHEMBL175691; D09720; D09958,Rilpivirine ; RILPIVIRINE; RILPIVIRINE HYDROCHLORIDE; Rilpivirine; Recambys; Edurant,J05AG; J05AR,Small Molecule,NotAvailable,CC1=CC(\C=C\C#N)=CC(C)=C1NC1=CC=NC(NC2=CC=C(C=C2)C#N)=N1,Cc1cc(/C=C/C#N)cc(C)c1Nc1ccnc(Nc2ccc(C#N)cc2)n1
DB08865; ZINC000035902489; CHEMBL601719; D09731,Crizotinib ; CRIZOTINIB; Crizotinib; Xalkori,L01ED; L01XE,Small Molecule,NotAvailable,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
DB08867; ZINC000034089131; CHEMBL2103846,Ulipristal ; ULIPRISTAL; Ulipristal,G03AD; G03XB,Small Molecule,NotAvailable,CN(C)C1=CC=C(C=C1)[C@H]1C[C@@]2(C)[C@@H](CC[C@]2(O)C(C)=O)[C@@H]2CCC3=CC(=O)CCC3=C12,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C
DB08868; ZINC000001542002; CHEMBL314854; D04187; JUAN656,"Fingolimod ; FINGOLIMOD; FINGOLIMOD HYDROCHLORIDE; Fingolimod; Imusera, Gilenya; Fingolimod",L04AA; L04AE,Small Molecule,NotAvailable,CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1,CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
DB08871,Eribulin ,L01XX,Small Molecule,NotAvailable,[H][C@@]12CC(=C)[C@]([H])(CC[C@@]3([H])C[C@@H](C)C(=C)[C@@]([H])(C[C@]4([H])O[C@H](C[C@H](O)CN)[C@H](OC)[C@@]4([H])CC(=O)C[C@@]4([H])CC[C@]5([H])O[C@@]6([H])[C@H]7O[C@@]8(C[C@]7([H])O[C@@]6([H])[C@@]([H])(O8)[C@@]5([H])O4)CC1)O3)O2,C=C1C[C@@H]2CC[C@@]34C[C@@H]5O[C@@H]6[C@@H](O[C@H]7CC[C@H](CC(=O)C[C@@H]8[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]8C[C@H]8O[C@@H](CC[C@@H]1O2)C[C@@H](C)C8=C)O[C@@H]7[C@@H]6O3)[C@H]5O4
DB08873; CHEMBL218394,Boceprevir ; Boceprevir,J05AP,Small Molecule,NotAvailable,[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C
DB08874; CHEMBL1255800,Fidaxomicin ; Fidaxomicin,A07AA,Small Molecule,NotAvailable,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C
DB08875; ZINC000070466416; CHEMBL2105717,Cabozantinib ; CABOZANTINIB; CABOZANTINIB S-MALATE; Cabozantinib,L01EX; L01XE,Small Molecule,NotAvailable,COC1=CC2=C(C=C1OC)C(OC1=CC=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC
DB08877; ZINC000043207851; CHEMBL1789941,Ruxolitinib ; RUXOLITINIB; RUXOLITINIB PHOSPHATE; Ruxolitinib,D11AH; L01EJ; L01XE,Small Molecule,NotAvailable,N#CC[C@H](C1CCCC1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
DB08880; ZINC000013512456; CHEMBL973,Teriflunomide ; TERIFLUNOMIDE; Teriflunomide,L04AA; L04AK,Small Molecule,NotAvailable,C\C(O)=C(/C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
DB08881; ZINC000052509366; CHEMBL1229517; D09996,Vemurafenib ; VEMURAFENIB; Vemurafenib; Zelboraf,G01AE; L01EC; L01XE,Small Molecule,NotAvailable,CCCS(=O)(=O)NC1=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C(F)C=C1,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
DB08882; ZINC000003820029; CHEMBL237500; D09566,Linagliptin ; LINAGLIPTIN; Linagliptin; Trazenta,A10BD; A10BH,Small Molecule,NotAvailable,CC#CCN1C(=NC2=C1C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C(=O)N2C)N1CCC[C@@H](N)C1,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
DB08883; ZINC000030691797; CHEMBL1214124,Perampanel ; PERAMPANEL; Perampanel,N03AX,Small Molecule,NotAvailable,O=C1N(C=C(C=C1C1=CC=CC=C1C#N)C1=NC=CC=C1)C1=CC=CC=C1,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O
